"Ozone","Solar.R","Wind","Temp","Month","Day","y"
41,190,7.4,67,5,1,342.217165007124
36,118,8,72,5,2,368.203856905784
12,149,12.6,74,5,3,382.166741711209
18,313,11.5,62,5,4,322.548680132919
NA,NA,14.3,56,5,5,293.270332984894
28,NA,14.9,66,5,6,345.586817606138
23,299,8.6,65,5,7,333.406270798013
19,99,13.8,59,5,8,309.002414560881
8,19,20.1,61,5,9,325.484402339659
NA,194,8.6,69,5,10,354.267484795217
7,NA,6.9,74,5,11,376.358884640595
16,256,9.7,69,5,12,354.798163724252
11,290,9.2,66,5,13,338.291263256114
14,274,10.9,68,5,14,352.27642901944
18,65,13.2,58,5,15,303.900470825058
14,334,11.5,64,5,16,329.808201847174
34,307,12,66,5,17,342.546920956592
6,78,18.4,57,5,18,303.530199561531
30,322,11.5,68,5,19,351.638901165198
11,44,9.7,62,5,20,320.516701929992
1,8,9.7,59,5,21,305.287820478919
11,320,16.6,73,5,22,381.191785027326
4,25,9.7,61,5,23,315.417293250062
32,92,12,61,5,24,316.50489631011
NA,66,16.6,57,5,25,302.537901950187
NA,266,14.9,58,5,26,304.387582422935
NA,NA,8,57,5,27,294.121552202556
23,13,12,67,5,28,346.296997861843
45,252,14.9,81,5,29,419.761111318999
115,223,5.7,79,5,30,400.313071313656
37,279,7.4,76,5,31,389.167420511446
NA,286,8.6,78,6,1,399.077549793273
NA,287,9.7,74,6,2,380.318036283278
NA,242,16.1,67,6,3,349.698937656682
NA,186,9.2,84,6,4,431.145144810645
NA,220,8.6,85,6,5,433.311828255424
NA,264,14.3,79,6,6,409.203509584716
29,127,9.7,82,6,7,420.036089218908
NA,273,6.9,87,6,8,442.640270291228
71,291,13.8,90,6,9,461.922800303828
39,323,11.5,87,6,10,445.402178887047
NA,259,10.9,93,6,11,475.01122052656
NA,250,9.2,92,6,12,469.233191163824
23,148,8,82,6,13,418.97284582539
NA,332,13.8,80,6,14,413.48048596605
NA,322,11.5,79,6,15,407.049229981622
21,191,14.9,77,6,16,399.097124474344
37,284,20.7,72,6,17,380.986442538828
20,37,9.2,65,6,18,333.546423139243
12,120,11.5,73,6,19,376.995981466134
13,137,10.3,76,6,20,389.968812152887
NA,150,6.3,77,6,21,391.039470862242
NA,59,1.7,76,6,22,380.773045219716
NA,91,4.6,76,6,23,384.239983205842
NA,250,6.3,76,6,24,387.274164713999
NA,135,8,75,6,25,382.71764680923
NA,127,8,78,6,26,398.71073670845
NA,47,10.3,73,6,27,375.190439936694
NA,98,11.5,80,6,28,412.935037395141
NA,31,14.9,77,6,29,398.190239712128
NA,138,8,83,6,30,423.619607389808
135,269,4.1,84,7,1,424.768171089886
49,248,9.2,85,7,2,434.125572121729
32,236,9.2,81,7,3,416.257665338467
NA,101,10.9,84,7,4,429.881244415988
64,175,4.6,83,7,5,420.764596438033
40,314,10.9,83,7,6,424.639386698287
77,276,5.1,88,7,7,444.98781540799
97,267,6.3,92,7,8,466.85005312099
97,272,5.7,92,7,9,465.717924424544
85,175,7.4,89,7,10,451.891260104897
NA,139,8.6,82,7,11,418.421106735771
10,264,14.3,73,7,12,379.946772562179
27,175,14.9,81,7,13,420.362609627398
NA,291,14.9,91,7,14,470.719982551312
7,48,14.3,80,7,15,414.384466978411
48,260,6.9,81,7,16,408.978993939224
35,274,10.3,82,7,17,419.344188080094
61,285,6.3,84,7,18,428.191334178091
79,187,5.1,87,7,19,439.38048255041
63,220,11.5,85,7,20,435.627004976789
16,7,6.9,74,7,21,378.23264510973
NA,258,9.7,81,7,22,415.789071136666
NA,295,11.5,82,7,23,421.645213612589
80,294,8.6,86,7,24,439.697963134658
108,223,8,85,7,25,433.824004422602
20,81,8.6,82,7,26,419.938412943882
52,82,12,86,7,27,442.12135463739
82,213,7.4,88,7,28,447.264757006572
50,275,7.4,86,7,29,437.205324387322
64,253,7.4,83,7,30,422.123966217088
59,254,9.2,81,7,31,412.897330503341
39,83,6.9,81,8,1,410.114395971639
9,24,13.8,81,8,2,419.325423901399
16,77,7.4,82,8,3,418.607383662707
78,NA,6.9,86,8,4,436.51574822269
35,NA,7.4,85,8,5,433.500660709175
66,NA,4.6,87,8,6,439.486098342308
122,255,4,89,8,7,449.765780200274
89,229,10.3,90,8,8,461.761519567623
110,207,8,90,8,9,456.693678935267
NA,222,8.6,92,8,10,469.330397912995
NA,137,11.5,86,8,11,442.613672640588
44,192,11.5,86,8,12,441.236948936455
28,273,11.5,82,8,13,421.76321442853
65,157,9.7,80,8,14,410.320671130959
NA,64,11.5,79,8,15,406.647879074262
22,71,10.3,77,8,16,395.28889663678
59,51,6.3,79,8,17,401.443881283877
23,115,7.4,76,8,18,387.179373488399
31,244,10.9,78,8,19,402.021791139998
44,190,10.3,78,8,20,399.812427650494
21,259,15.5,77,8,21,400.401735839851
9,36,14.3,72,8,22,375.015171137562
NA,255,12.6,75,8,23,386.893585594859
45,212,9.7,79,8,24,403.643921040856
168,238,3.4,81,8,25,407.075612823988
73,215,8,86,8,26,438.042427015956
NA,153,5.7,88,8,27,446.034150016898
76,203,9.7,97,8,28,494.420120258386
118,225,2.3,94,8,29,471.834663935514
84,237,6.3,96,8,30,487.06319015275
